bid_discount,count_linktot_in,count_linktot_out,auction_type,participated,logmiles_fiwo,logcapital,backlog_lagged,firm_type_unlim_liab,auction_id,labor,region,year
8.11,,,0,1,2.584073,,,0,329948,,"PIEMONTE",2005
12.27,,,0,1,3.117994,,0,0,329955,,"PIEMONTE",2006
15.23,,,0,1,4.587902,,,0,314609,,"EMILIA ROMAGNA",2005
23.314,,,0,1,2.612127,,,0,316008,,"VENETO",2005
16.0314,,,0,1,4.4239,,0,0,316929,,"EMILIA ROMAGNA",2005
17.533,,,0,1,4.531653,,0,0,317363,,"VENETO",2005
16.876,,,0,1,2.536471,,,0,318297,,"VENETO",2005
21.334,,,0,1,3.190888,,0,0,326481,,"EMILIA ROMAGNA",2005
16.64,,,0,1,4.041981,,0,0,326857,,"EMILIA ROMAGNA",2006
11.51,,,0,1,3.157,,,1,320887,,"EMILIA ROMAGNA",2006
14.203,,,0,1,5.535676,,,,370789,,"PIEMONTE",2007
14,,,1,1,3.726825,,,0,349860,,"PIEMONTE",2006
8.12,,,0,1,,,,,371362,,"EMILIA ROMAGNA",2007
10.495,,,0,1,0,,,1,315969,,"LOMBARDIA",2005
12.873,,,0,1,4.224832,,,0,346917,,"VENETO",2006
27.681,,,0,1,6.320569,3.02994,,0,313429,,"LIGURIA",2005
15.581,,,0,1,6.226488,3.02994,0,0,320013,,"LIGURIA",2005
10.122,,,0,1,6.426126,3.02994,0,0,357530,,"LOMBARDIA",2005
6.952,,,0,1,3.159041,,,,374207,,"LOMBARDIA",2007
14.369,,,0,1,,,,0,325522,,"EMILIA ROMAGNA",2006
12.56,,,1,1,0,,,1,356335,,"LOMBARDIA",2006
4.7,,,1,1,0,,,1,356336,,"LOMBARDIA",2006
13.73,,,0,1,6.852279,,,,329722,,"LOMBARDIA",2006
9.65,,,0,1,3.305677,,,,373150,,"LOMBARDIA",2007
12.49,,,0,1,1.923519,,,0,364513,,"LOMBARDIA",2006
15,,,0,1,3.967212,,,,374207,,"LOMBARDIA",2007
11.681,,,0,1,,,,0,348417,,"VENETO",2006
5.028,,,0,1,3.787638,,,,336092,,"LOMBARDIA",2006
22.1,,,0,1,,,,0,339811,,"PIEMONTE",2006
26.8,,,1,1,3.91448,,,,349862,,"PIEMONTE",2006
13.049,,,0,1,2.853881,,,0,340105,,"VENETO",2006
9.82,,,0,1,0,,,,339250,,"EMILIA ROMAGNA",2006
8.175,,,0,1,,,,0,329948,,"PIEMONTE",2005
7.82,,,0,1,,,0,,363819,,"PIEMONTE",2006
18.328,,,0,1,,,,1,359139,,"EMILIA ROMAGNA",2006
12.05,,,0,1,4.711654,,,1,364513,,"LOMBARDIA",2006
6.5,,,0,1,3.336588,,,1,351877,,"EMILIA ROMAGNA",
5.25,,,0,1,,,,1,314310,,"LOMBARDIA",2005
13.04,,,0,1,4.552339,,,0,355392,,"LOMBARDIA",2006
17.614,,,0,1,2.601949,,,,354472,,"EMILIA ROMAGNA",2006
12.573,,,0,1,,,,1,319872,,"VENETO",2005
14.21,,,0,1,2.569401,,,,335798,,"LOMBARDIA",2006
2.94,,,0,1,2.954494,,,1,329603,,"EMILIA ROMAGNA",2005
12.811,,,0,1,5.913468,,,,371924,,"EMILIA ROMAGNA",2007
19.522,,,0,1,,,,,356056,,"PIEMONTE",2006
14.474,,,0,1,,,,0,308974,,"EMILIA ROMAGNA",2005
26,,,0,1,4.717436,,,0,316008,,"VENETO",2005
17.74,,,0,1,3.335236,,,,350877,,"PIEMONTE",2006
4.43,,,0,1,0,,,1,315969,,"LOMBARDIA",2005
7.15,,,0,1,,,,1,332607,,"VENETO",2006
19.069,,,0,1,5.183108,,,,373155,,"EMILIA ROMAGNA",2007
8.91,,,0,1,,,,,314620,,"PIEMONTE",2005
